date,code,name,sector,trigger,tag,score,score_reason,zone_hi,zone_lo,stop,risk_shallow,risk_deep,risk_pct_shallow,risk_pct_deep,atr,unit_cost,close_at_listing,expire_date,time_stop,zone_width_atr,zone_floored,tailwind,headwind,hivol,gap_date,earnings_est_days,adv20_jpy
2026-07-25,2001,ニップン,食料品,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(98%)+2 / 浅い押し(0.63ATR)+2,2818.0,2787.0,2726.0,92.0,61.0,3.26,2.19,53.90,283200,2832.0,07/29,10,0.58,0,0,0,0,,36,779803075
2026-07-25,4733,オービックビジネスコンサルタント,情報・通信業,材料反応,1ヶ月,8,材料反応+4(日本でもPEAD確認) / 出来高3.5倍+2 / 当日ギャップ+1 / 高値引け(80%)+1,7730.0,7550.0,7210.0,520.0,340.0,6.73,4.50,253.71,763800,7638.0,07/29,20,0.71,0,0,0,0,2026-07-24,60,1904508515
2026-07-25,4118,カネカ,化学,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(89%)+1 / 浅い押し(0.27ATR)+2,5840.0,5730.0,5510.0,330.0,220.0,5.65,3.84,115.11,584100,5841.0,07/29,10,0.96,0,0,0,0,,11,1198554285
2026-07-25,7173,東京きらぼしフィナンシャルグループ,銀行業,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(94%)+2 / 順風セクター+1,1772.0,1709.0,1591.0,181.0,118.0,10.21,6.90,72.88,177200,1772.0,07/29,10,0.86,0,1,0,0,,18,4113874715
2026-07-25,8368,百五銀行,銀行業,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(80%)+1 / 押し1.05ATR+1 / 順風セクター+1,2107.0,2032.0,1895.0,212.0,137.0,10.06,6.74,73.32,208000,2080.0,07/29,10,1.02,0,1,0,0,,9,1446499525
2026-07-27,8541,愛媛銀行,銀行業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高11.9倍+2 / 当日ギャップ+1 / トレンド整合+1 / 高値引け(94%)+2,2810.0,2707.0,2520.0,290.0,187.0,10.32,6.91,100.46,279400,2794.0,07/30,20,1.03,0,0,0,0,2026-07-24,60,396560855
2026-07-27,2001,ニップン,食料品,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(98%)+2 / 浅い押し(0.63ATR)+2,2818.0,2787.0,2726.0,92.0,61.0,3.26,2.19,53.90,283200,2832.0,07/30,10,0.58,0,0,0,0,,36,779803075
2026-07-27,3191,ジョイフル本田,小売業,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(98%)+2 / 浅い押し(0.18ATR)+2,2294.0,2279.0,2247.0,47.0,32.0,2.05,1.40,40.56,231500,2315.0,07/30,10,0.37,0,0,0,0,,35,421344950
2026-07-27,1965,テクノ菱和,建設業,材料反応,1ヶ月,7,材料反応+4(日本でもPEAD確認) / 出来高2.0倍+1 / 当日ギャップ+1 / 高値引け(88%)+1,6650.0,6390.0,5900.0,750.0,490.0,11.28,7.67,298.64,657000,6570.0,07/30,20,0.87,0,0,0,0,2026-07-24,48,325280000
2026-07-27,4118,カネカ,化学,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(89%)+1 / 浅い押し(0.27ATR)+2,5840.0,5730.0,5510.0,330.0,220.0,5.65,3.84,115.11,584100,5841.0,07/30,10,0.96,0,0,0,0,,11,1198554285
2026-07-28,5830,いよぎんホールディングス,銀行業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高2.3倍+1 / 当日ギャップ+1 / トレンド整合+1 / 高値引け(99%)+2 / 順風セクター+1,3790.0,3710.0,3555.0,235.0,155.0,6.20,4.18,120.47,378500,3785.0,07/31,20,0.66,0,1,0,0,2026-07-27,55,2963321065
2026-07-28,8541,愛媛銀行,銀行業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高11.9倍+2 / トレンド整合+1 / 高値引け(96%)+2 / 順風セクター+1,2810.0,2707.0,2519.0,291.0,188.0,10.36,6.94,106.93,291700,2917.0,07/31,20,0.96,0,1,0,0,2026-07-24,60,672449785
2026-07-28,3132,マクニカホールディングス,卸売業,材料反応,1ヶ月,8,材料反応+4(日本でもPEAD確認) / 出来高6.1倍+2 / 当日ギャップ+1 / トレンド整合+1,3690.0,3565.0,3330.0,360.0,235.0,9.76,6.59,155.27,357900,3579.0,07/31,20,0.81,0,0,0,0,2026-07-27,60,1961196945
2026-07-28,4665,ダスキン,サービス業,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(94%)+2 / 浅い押し(0.66ATR)+2,4470.0,4435.0,4365.0,105.0,70.0,2.35,1.58,77.49,453200,4532.0,07/31,10,0.45,0,0,0,0,,11,396747755
2026-07-28,6804,ホシデン,電気機器,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(100%)+2 / 浅い押し(0.57ATR)+2,2777.0,2734.0,2651.0,126.0,83.0,4.54,3.04,71.31,284000,2840.0,07/31,10,0.60,0,0,0,0,,6,558251255
