日付,コード,エラー種別
2026-07-12,165A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1712,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1726,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1743,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,176A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1776,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1821,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1841,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1890,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,1949,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,202A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2150,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2196,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2344,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2374,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2389,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2540,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2686,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2692,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,2743,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3073,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3094,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3141,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3294,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3341,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3526,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3540,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3541,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3546,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3593,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3655,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3670,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3688,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3847,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3902,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3924,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,3961,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4080,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4319,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4333,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4384,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4494,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4530,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4556,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4659,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4690,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4745,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4917,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4957,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,4974,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5017,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5070,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5191,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5259,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5352,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5386,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5476,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5577,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5595,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5596,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5727,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,5856,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6028,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6060,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6173,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6201,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6210,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6293,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6297,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6312,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6373,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6403,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6406,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6416,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6489,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6542,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6565,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6670,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6734,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6901,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6930,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6937,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,6957,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7088,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7092,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7105,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7116,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7205,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7229,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7250,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7420,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7445,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7450,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7455,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7467,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7635,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7718,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7732,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7739,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7817,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7851,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7922,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7923,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7925,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7985,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,7999,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,8209,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,8515,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,8940,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9067,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9338,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9386,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9600,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9719,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9776,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9914,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-12,9927,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,165A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1712,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1726,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1743,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,176A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1776,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1821,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1841,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1890,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,1949,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,202A,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2150,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2196,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2344,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2374,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2389,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2540,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2686,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2692,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,2743,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3073,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3094,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3141,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3294,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3341,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3526,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3540,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3541,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3546,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3593,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3655,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3670,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3688,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3847,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3902,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3924,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,3961,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4080,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4319,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4333,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4384,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4494,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4530,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4556,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4659,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4690,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4745,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4911,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4917,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4918,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4934,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4951,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4956,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4957,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4970,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4973,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,4974,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5010,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5015,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5016,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5017,取得失敗(理由不明・一括ダウンロードから欠落)
